Kecamatan;Jalan I;Jarak (m);Bagian;Latitude,Longitude;Jalan II;Jarak (m);Bagian;Latitude,Longitude; Jalan III;Jarak (m);Bagian;Latitude,Longitude;Jalan IV;Jarak (m);Bagian;Latitude,Longitude;Jalan V;Jarak (m);Bagian;Latitude,Longitude;Jalan VI;Jarak (m);Bagian;Latitude,Longitude;Jalan VII;Jarak (m);Bagian;Latitude,Longitude;Jalan VIII;Jarak (m);Bagian;Latitude,Longitude;Jalan IX;Jarak (m);Bagian;Latitude,Longitude
"Pontianak
Utara";"Jalan
Khatulistiwa ";6570;Ujung 1;-0.01774287001357279, 109.3425198933207;Gang Batas Kota;197,7;;0.013442982510206378, 109.29199201401168;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Tengah 1;-0.0002899713641320311, 109.32383625302253;Gang Karya Usaha;1850;Ujung 1;0.010853236749893636, 109.29484576687102;Gang Karya Usaha 1;70,42;;0.010971648729592763, 109.29536187328073;;;;;;;;;;;;;;;;;;;;;;;;
;;;Tengah 2;-0.006115696064614831, 109.33075715550036;;;Tengah 1;0.013217641053019289, 109.2956036767599;Gang Karya Usaha 2;47,69;;0.011190248758825112, 109.2950299499152;;;;;;;;;;;;;;;;;;;;;;;;
;;;Tengah 3;-0.006428111665570041, 109.33107321924774;;;Tengah 2;0.013804569226494864, 109.2957828983955;Gang Karya Usaha 3;47,73;;0.011543870796871924, 109.2954849119891;;;;;;;;;;;;;;;;;;;;;;;;
;;;Tengah 4;-0.012133593970557143, 109.33636106172403;;;Tengah 3;0.018217207439182755, 109.29695715579523;Gang Karya Bhakti I;274,48;;0.01223905547871837, 109.29780075087002;;;;;;;;;;;;;;;;;;;;;;;;
;;;Tengah 5;0.010065622317890361, 109.29538391506647;;;Ujung 2;0.022084346753467994, 109.29806821844562;Gang Karya Bersama;299,92;;0.012555142782707952, 109.2980697095929;;;;;;;;;;;;;;;;;;;;;;;;
;;;Tengah 6;0.006516515998499151, 109.30447329712014;;;;;Gang Karya Usaha 5;129,41;;0.014507096027977463, 109.29695981449458;;;;;;;;;;;;;;;;;;;;;;;;
;;;Tengah 7;0.0032725271886673408, 109.31386264593516;;;;;Gang Perjuangan;341,11;;0.015216709955999686, 109.29899992401658;;;;;;;;;;;;;;;;;;;;;;;;
;;;Tengah 8;0.001195197675562376, 109.31998575059364;;;;;Gang Karya Usaha 7;124,23;;0.01725335931644969, 109.29784187657407;;;;;;;;;;;;;;;;;;;;;;;;
;;;Ujung 2;0.011715605885259595, 109.29137574870087;;;;;Gang Karya Usaha 8;357,43;;0.018117469187203923, 109.30029118266758;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Gang Karya Bhakti I;366,87;;0.010500825024286144, 109.29856224361984;Gang Karya Bhakti 2;82,29;;0.010282294102896525, 109.29636468641066;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Gang Karya Bhakti 3;187,6;;0.011645979709823413, 109.29588043177587;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Gang Karya Bhakti;128,84;;0.012023426851031575, 109.29777224268048;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Jalan Flora;2150;Ujung 1;0.007913088904916826, 109.29982880443619;Gang Flora 1;430,42;;0.007524467792196702, 109.30383144934748;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Tengah 1;0.013133034555004945, 109.30197735555241;Gang Flora 2;239,19;;0.008703715809159091, 109.30246013701182;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Tengah 2;0.019616549317053842, 109.30479875549733;Gang Flora 3;219,98;;0.010397996033894717, 109.29875792786595;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Tengah 3;0.0210046559233867, 109.30541724785577;Gang Flora 4;189,05;;0.009255476052682258, 109.30221711694134;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Ujung 2;0.024471126481683737, 109.30642152010077;Gang Lusur Paun;381,24;;0.01181996034076801, 109.29778247734441;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Gang Sinar Flora;380,55;;0.012036683600952528, 109.29799543281068;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Gang Flora Melati;359,55;;0.012333075723282426, 109.29824917133136;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Gang Flora Mawar;408,3;;0.012533308681841649, 109.29819203217113;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Gang Flora Cemp.;176,37;;0.01234435385386365, 109.29992819965149;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Gang Rambutan;310,09;;0.013987361624246722, 109.29931608810855;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Gang Flora Indah;357,04;;0.014558045455756683, 109.30603129824006;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Gang Pesantren;373,46;;0.022127269432547156, 109.30222148577032;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Gang Mandiri ;91,65;;0.0076314959491162095, 109.30143350402635;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Gang Usmania ;172,62;;0.005572013540012492, 109.30170927024962;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Gang Masjid (Pesisir);208,1;;0.005248486408945438, 109.3020183381619;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Gang Berkat;109;;0.007497493617443347, 109.30223402648096;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Gang Muktitama;785,07;Ujung 1;0.006254861594486613, 109.30715856871663;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Ujung 2;0.012487451736393783, 109.30885778080906;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Gang Sambas Jaya;770,07;Ujung 1;0.006663742049103877, 109.30774054828039;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Ujung 2;0.012307179054490447, 109.30942420480406;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Gang Beringin 3 ;749,15;Ujung 1;0.005937803547397813, 109.30921585664727;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Ujung 2;0.011720062206452782, 109.31082609945001;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Gang Beringin Baru;388,8;;0.008794685689818739, 109.3106614827867;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Jalan Panca Bhakti;3270;Ujung 1;0.006612966361401409, 109.31138826152528;Gang Hidayah 1 ;423;;0.009843435936457349, 109.31315472280566;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Tengah 1;0.010428088094367093, 109.31113245712147;Gang Hidayah 2 ;86,95;;0.008747598562255845, 109.31161018426602;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Tengah 2;0.015389830631241176, 109.31069846435484;Gang Hidayah 3 ;366,55;;0.01109041135022975, 109.31325911493465;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Tengah 3;0.016960384734144237, 109.31056744156994;Gang Panca Hidayah 1 ;186,79;;0.010537457236729908, 109.31183717360067;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Tengah 4;0.02012684579541646, 109.31076955510439;Gang Panca Karya ;179,57;;0.011296997675345971, 109.31183359736929;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Tengah 5;0.0206923437065268, 109.31087524691402;Gang Hidayah 4;285,63;;0.011610635519166503, 109.31312454060686;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Ujung 2;0.03068553679261716, 109.31131284940783;Gang Sambas Mandiri ;432,45;;0.012382063280128482, 109.31023894616462;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Gang Keluarga 1;345,85;;0.016544409470115796, 109.30953736810693;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Gang Keluarga 2;572,65;Ujung 1;0.016161285565195742, 109.31181314633929;;;;;;;;;;;;;;;;;;;;;;;;
